fx(rel),fy(rel),skew,u,v
1.9260556141291643e-07,1.5108025359802526e-07,0.0026572388749084587,-2.514855996155254e-06,-5.422296345713232e-06
2.001299986726018e-07,1.386614933432536e-07,0.001670347012234339,-1.881803686724257e-06,5.695035404250524e-06
9.219546283335288e-08,1.9190257159028657e-07,0.0009430211988470587,3.818423281890174e-06,-1.3375813899806368e-06
2.3134836984469768e-07,2.4642811155809184e-07,0.0035836591874925387,-3.73311749438443e-05,-7.451643258938949e-07
1.8930603874898303e-07,1.9870861969494178e-07,0.008959677464850817,1.5579631058569378e-05,8.008397191870489e-06
1.9047900720075887e-07,1.7555213661114984e-07,0.005292634072009322,4.710299246350284e-06,7.617085251621627e-06
1.7504471383959254e-07,2.2640519604340559e-07,0.002273896079948226,-1.116816189909997e-05,1.2374155682478553e-06
1.8561285088788688e-07,1.8315195997956412e-07,0.00375952493236642,-6.972348573024072e-06,-7.692794261921726e-06
1.8569731426707446e-07,1.7137869495163034e-07,0.004209844060376405,4.180926560122824e-06,5.9858186116963045e-06
2.320247944548117e-07,2.2443192177985642e-07,0.015650540117906113,-6.191334336974181e-06,4.5542305080322386e-05
2.1339356027935732e-07,2.0972451560676368e-07,0.026263012032848917,1.682927312109748e-05,-4.592704069080374e-05
2.0601254675814563e-07,2.0907240812706471e-07,0.023532521884369734,-3.4904333195036635e-05,1.9207854819569548e-05
1.8458833361651203e-07,1.320498616432293e-07,0.0016962368039763899,-2.052444805542564e-06,3.9204113849950464e-06
1.21095089875651e-07,2.191522245046597e-07,0.0015767952616704101,6.877726564269437e-06,7.84891255153418e-07
1.6926082059707874e-07,1.9007888514919945e-07,0.003847637066593604,6.537159780666532e-06,3.815801420003442e-06
1.703024887576832e-07,2.2535317879606846e-07,0.0018554022847382674,-1.047725249334361e-05,-1.2003176961014915e-06
2.123782980701515e-07,1.0868642214106718e-07,0.0011334586670828169,-9.394452902242747e-07,5.914021025730673e-06
1.9072347397521426e-07,2.3305516749641537e-07,0.002082119379916573,-1.4044980146284029e-05,1.064949124884862e-06
2.4137166733828485e-07,2.004000895088464e-07,0.0011545833520918759,-4.5573652157024726e-07,-1.6343283929742825e-05
1.3415740483266019e-07,2.2989909084670493e-07,0.0005398761019982954,8.26933022168852e-06,3.8797544529448456e-07
1.8952170536786827e-07,1.4526188471996133e-07,0.002021246454094891,2.364360177456097e-06,-4.7947760350552924e-06
1.6440220410616255e-07,1.5840794083065167e-07,0.001335629184071094,2.8413149969923546e-06,3.0503673258408526e-06
1.9614230092258258e-07,1.9710053403071796e-07,0.016493283814845463,-2.2335747535073835e-05,2.0053063232901753e-05
1.5725892452887984e-07,2.2902081131509557e-07,0.001119988440176254,-9.541000855834296e-06,-7.061638053566336e-07
2.211025819022547e-07,1.7005780644407887e-07,0.0026038486529417694,-1.5280919994231365e-06,1.0212431496971529e-05
1.2597875915387427e-07,1.9681585712858557e-07,0.0023699992452356927,4.913028040555352e-06,-1.71425578278392e-06
2.378284041421309e-07,2.0280534340777479e-07,0.002522812449874501,9.153097281636862e-07,-1.7158497809636026e-05
1.718709437658099e-07,2.3708111318138807e-07,0.00022068434712557182,1.1358352483670231e-05,-3.6409790949177036e-07
1.9044652585112738e-07,1.617059971293694e-07,0.002917100027082743,-3.1382752187126264e-06,-5.8385142433700545e-06
1.903231631755279e-07,1.6324808497759261e-07,0.0032166814886502625,-3.2524543453358575e-06,5.946573385228449e-06
2.3332518983482972e-07,2.2679144318834778e-07,0.008879478079250621,6.544990984380661e-06,4.5942068087464115e-05
2.0961515720291818e-07,1.7529699028779954e-07,0.004401307099907079,-2.794267921723574e-06,-1.0144498339416584e-05
5.192860292735852e-08,2.0327255549566364e-07,0.0009283299214454635,-4.190545873549077e-06,7.516634728157019e-07
2.3362934084192848e-07,1.9783966717641154e-07,0.0020483218180864463,1.2424122591015851e-06,1.5839415286287497e-05
2.3568757238629726e-07,2.427931005094972e-07,0.008076621799377284,4.972677869060268e-05,3.1899713844398192e-06
7.897657759865694e-08,2.1924103832161892e-07,0.0005584618570360217,-5.8376566682838416e-06,4.21620302335014e-07
1.1110104296881346e-07,1.7121685427730227e-07,0.0009375413318554994,2.7670425161040334e-06,1.710684285801117e-06
1.7276634037447275e-07,1.9950146390704313e-07,0.0038428943464846673,8.561660637086885e-06,-3.5708799857968277e-06
2.0063711198182554e-07,1.9389958231285255e-07,0.009839112546461219,1.0344375356889183e-05,2.0123026161199065e-05
1.426292182444445e-07,1.7864408412016013e-07,0.0016271508855695833,3.672937990673885e-06,-2.356187580143802e-06
1.8577568381959726e-07,1.8324501440028775e-07,0.006590303637261193,-7.218947317481266e-06,-8.015726641205042e-06
1.1225600703825849e-07,1.9301186046444521e-07,0.001211594741305735,4.233721164678431e-06,-1.5718369337491822e-06
1.8918891483101118e-07,1.7811766984769485e-07,0.003511291773537602,-5.297208165368955e-06,-7.776372522566983e-06
1.8444891877247995e-07,1.8576230205777252e-07,0.004180830159340269,-8.100444288672293e-06,7.669212769261766e-06
2.409283308928682e-07,1.9382651100602527e-07,0.0002646099870631992,-3.758504389174661e-07,1.4718492075349587e-05
1.8764780407185663e-07,1.7123329392688387e-07,0.003164576091962852,-4.124337468485666e-06,-6.331594670134636e-06
2.3274832678397164e-07,2.1215317940200278e-07,0.00491771786962982,2.3307437408356177e-06,2.3357979546839207e-05
1.7624016773021593e-07,1.5787234967638622e-07,0.002077964013119329,-2.967607992767549e-06,-3.888314753434467e-06
2.3642638756553362e-07,2.424462864711297e-07,0.010326581877595855,5.847586597592288e-05,-3.994719013697625e-06
1.9986416997019178e-07,1.8289719404685417e-07,0.00569881967763536,-5.084997716172287e-06,1.1362381633058963e-05
