fx,fy,skew,u,v
2631.2612025467843,3834.422620470923,-319.1018710655529,1376.0863578920514,1562.9150844963453
2740.0820561871606,3085.001129765617,-39.294478196676785,1703.8935336663467,1522.8813587307104
2902.5833834482683,2822.08703348653,243.73055237564319,2068.3050488299073,1547.8275938025706
2879.9104925208358,2591.4357192986777,265.18371244484746,2134.381499674795,1421.7401691283171
2950.652062073611,2790.376199215729,-70.56167819037118,1777.2391556462767,1181.2673557025455
2723.885581808073,2937.301631446518,360.1554655158389,2109.0344912865608,1883.4242314614487
2773.182168802275,2286.368145614323,455.3868358537525,2592.5067894858958,1582.7343377528928
2812.0262873131915,2427.820444843212,196.79467958204438,2288.215748795599,1422.5899198184952
2852.365444503388,2672.804614548864,177.2713983099415,2027.644654621231,1430.0896817834
2763.81027397049,3080.757475400029,173.89902999294597,1900.1510340945574,1723.5942141450503
2742.757766753843,2944.041384723688,381.90154323125677,2143.525228716229,1939.3638368409052
2796.426554839738,3011.6451623420066,229.12145008687042,1924.095969104432,1655.8811003124385
